institution,website,address_contact,category,source_file
State House / Office of the President,statehouse.gov.ng,"Aso Rock Villa, Three Arms Zone, Abuja",The Presidency & Central Executive,laws/mda/nigeria-mda-directory.txt
Office of the Vice President,statehouse.gov.ng,"Aso Rock Villa, Three Arms Zone, Abuja",The Presidency & Central Executive,laws/mda/nigeria-mda-directory.txt
Office of the Chief of Staff to the President,—,"State House, Abuja",The Presidency & Central Executive,laws/mda/nigeria-mda-directory.txt
Office of the Secretary to the Government of the,osgf.gov.ng,"Federal Secretariat, Shehu Shagari Way, Abuja Federation (SGF)",The Presidency & Central Executive,laws/mda/nigeria-mda-directory.txt
Office of the Head of the Civil Service of the,hocsf.gov.ng,"Federal Secretariat Complex, Abuja Federation",The Presidency & Central Executive,laws/mda/nigeria-mda-directory.txt
Office of the National Security Adviser (ONSA),ctc.gov.ng,"Three Arms Zone, Abuja",The Presidency & Central Executive,laws/mda/nigeria-mda-directory.txt
Office of the Auditor-General for the Federation,oaugf.ng,Abuja,The Presidency & Central Executive,laws/mda/nigeria-mda-directory.txt
Office of the Accountant-General of the,oagf.gov.ng,"Treasury House, Ahmadu Bello Way, Abuja Federation",The Presidency & Central Executive,laws/mda/nigeria-mda-directory.txt
Budget Office of the Federation (BOF),budgetoffice.gov.ng,Abuja,The Presidency & Central Executive,laws/mda/nigeria-mda-directory.txt
Bureau of Public Procurement (BPP),bpp.gov.ng,Abuja,The Presidency & Central Executive,laws/mda/nigeria-mda-directory.txt
Bureau of Public Enterprises (BPE),bpe.gov.ng,"1 Osun Crescent, Maitama, Abuja",The Presidency & Central Executive,laws/mda/nigeria-mda-directory.txt
National Council on Privatisation (NCP),bpe.gov.ng,Abuja,The Presidency & Central Executive,laws/mda/nigeria-mda-directory.txt
SERVICOM (Service Compact with All Nigerians),servicom.gov.ng,"The Presidency, Abuja",The Presidency & Central Executive,laws/mda/nigeria-mda-directory.txt
Nigeria Governors' Forum (NGF),nggovernorsforum.org,Abuja,The Presidency & Central Executive,laws/mda/nigeria-mda-directory.txt
National Economic Council (NEC),osgf.gov.ng,Abuja,The Presidency & Central Executive,laws/mda/nigeria-mda-directory.txt
Federal Executive Council (FEC) Secretariat,osgf.gov.ng,Abuja,The Presidency & Central Executive,laws/mda/nigeria-mda-directory.txt
NEPAD Nigeria,—,Abuja,The Presidency & Central Executive,laws/mda/nigeria-mda-directory.txt
Nigeria National Merit Award (NNMA),—,Abuja,The Presidency & Central Executive,laws/mda/nigeria-mda-directory.txt
National Lottery Trust Fund (NLTF),nltf.gov.ng,Abuja,The Presidency & Central Executive,laws/mda/nigeria-mda-directory.txt
National Lottery Regulatory Commission (NLRC),nlrc.gov.ng,Abuja,The Presidency & Central Executive,laws/mda/nigeria-mda-directory.txt
Infrastructure Concession Regulatory,icrc.gov.ng,Abuja Commission (ICRC),The Presidency & Central Executive,laws/mda/nigeria-mda-directory.txt
Border Communities Development Agency,bcda.gov.ng,Abuja (BCDA),The Presidency & Central Executive,laws/mda/nigeria-mda-directory.txt
Nigeria Sovereign Investment Authority (NSIA),nsia.com.ng,Abuja,The Presidency & Central Executive,laws/mda/nigeria-mda-directory.txt
